experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
160,compromised,0.0873999999999999,12.0,32.0,0.08,0.07
161,normal,0.1435,17.0,25.5,0.0,0.0
161,compromised,1.0025,13.0,43.5,0.06,0.05
162,normal,0.1800999999999999,14.0,24.0,0.0,0.0
162,compromised,0.7717,18.0,29.0,0.0,0.0
163,normal,0.1543,27.0,30.0,0.0,0.0
163,compromised,0.7536999999999999,34.5,33.5,0.2299999999999999,0.21
164,normal,0.1578,13.5,12.5,0.0,0.0
164,compromised,0.8848999999999999,16.5,18.0,0.1999999999999999,0.18
165,normal,0.1571,19.5,19.0,0.0,0.0
165,compromised,0.8808,23.5,36.5,0.1300000000000001,0.11
166,normal,0.1064,22.5,23.0,0.0,0.0
166,compromised,0.5577,64.0,65.0,0.43,0.26
167,normal,0.3292,11.0,16.5,0.0,0.0
167,compromised,1.1064,61.5,61.5,0.26,0.23
168,normal,0.1473,41.5,29.5,0.0,0.0
168,compromised,0.5384,24.5,55.5,0.09,0.06
169,normal,0.1989,11.0,27.5,0.0,0.0
169,compromised,0.1841999999999999,8.5,22.5,0.3399999999999999,0.24
170,normal,0.1374,14.0,13.0,0.0,0.0
170,compromised,0.851,13.0,18.5,0.07,0.07
171,normal,0.1029,18.0,23.5,0.0,0.0
171,compromised,0.5347999999999999,15.0,22.0,0.05,0.05
172,normal,0.2879,28.0,22.0,0.0,0.0
172,compromised,0.254,31.0,33.0,0.1999999999999999,0.19
173,normal,0.1928,16.0,16.5,0.0,0.0
173,compromised,0.6565000000000001,16.0,14.5,0.0,0.0
174,normal,0.1485999999999999,14.0,10.0,0.0,0.0
174,compromised,0.1989,18.5,17.0,0.01,0.01
175,normal,0.1134,9.5,18.0,0.0,0.0
175,compromised,0.1179,76.5,37.5,0.2299999999999999,0.17
176,normal,0.1832,9.0,15.0,0.0,0.0
176,compromised,0.6313,10.5,25.0,0.1099999999999999,0.04
177,normal,0.6307,10.0,20.0,0.0,0.0
177,compromised,0.3057,15.0,18.0,0.1100000000000001,0.06
178,normal,0.1287,27.0,19.5,0.0,0.0
178,compromised,0.4289,14.5,22.5,0.02,0.0
179,normal,0.2415,17.5,19.0,0.0,0.0
179,compromised,0.9434,15.0,22.5,0.02,0.0
180,normal,0.181,10.0,26.0,0.0,0.0
180,compromised,0.3092,10.0,18.5,0.06,0.0
181,normal,0.1110999999999999,22.0,21.0,0.0,0.0
181,compromised,0.9518,22.5,40.5,0.09,0.07
182,normal,0.4059,0.0,0.0,0.0,0.0
182,compromised,0.3196,23.0,24.0,0.1899999999999999,0.16
183,normal,0.3152999999999999,8.0,13.5,0.0,0.0
183,compromised,0.3764,5.5,13.5,0.04,0.04
184,normal,0.3094,11.5,40.5,0.0,0.0
184,compromised,0.3481,26.5,62.0,0.1499999999999999,0.15
