experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
174.0,normal,0.3898,20.5,15.5,0.0,0.0
174.0,compromised,1.2117,29.0,33.0,0.1300000000000001,0.11
175.0,normal,0.5524,49.5,20.0,0.0,0.0
175.0,compromised,0.7882,54.17,73.67,0.0,0.0
176.0,normal,0.4019999999999999,14.5,22.0,0.0,0.0
176.0,compromised,0.42,20.0,34.67,0.09,0.09
177.0,normal,0.5468,10.0,19.0,0.0,0.0
177.0,compromised,0.5393,13.0,30.5,0.03,0.0
178.0,normal,0.1266,21.0,24.0,0.0,0.0
178.0,compromised,0.4358999999999999,24.0,33.0,0.0,0.0
179.0,normal,0.3085,25.0,44.5,0.0,0.0
179.0,compromised,0.5248999999999999,53.33,68.33,0.02,0.02
180.0,normal,0.4962,10.0,15.0,0.0,0.0
180.0,compromised,0.3931,35.0,24.5,0.01,0.01
181.0,normal,0.6008,41.5,21.5,0.0,0.0
181.0,compromised,0.8068000000000001,20.67,34.33,0.04,0.02
182.0,normal,0.4662,19.0,27.5,0.0,0.0
182.0,compromised,0.9204,38.0,38.0,0.1300000000000001,0.11
183.0,normal,0.3358,15.5,26.5,0.0,0.0
183.0,compromised,0.4135999999999999,30.17,29.83,0.06,0.06
184.0,normal,0.188,45.0,23.5,0.0,0.0
184.0,compromised,0.7859,31.5,31.5,0.1,0.07
185.0,normal,0.2664999999999999,20.0,17.0,0.0,0.0
185.0,compromised,1.1291,58.0,58.0,0.1799999999999999,0.18
186.0,normal,0.3545999999999999,17.0,21.0,0.0,0.0
186.0,compromised,2.5691,21.5,53.5,0.1100000000000001,0.11
187.0,normal,0.2591,63.5,36.0,0.0,0.0
187.0,compromised,0.9868,17.5,18.0,0.09,0.09
188.0,normal,0.2667,22.5,27.5,0.0,0.0
188.0,compromised,0.6806,18.0,25.0,0.01,0.0
189.0,normal,0.2531,23.0,17.5,0.0,0.0
189.0,compromised,0.5649000000000001,50.5,51.5,0.04,0.02
190.0,normal,0.2491,23.5,39.5,0.0,0.0
190.0,compromised,0.2278,9.5,27.0,0.0,0.0
191.0,normal,1.0384,25.0,26.5,0.0,0.0
191.0,compromised,0.8,50.33,63.33,0.0,0.0
192.0,normal,0.141,54.5,31.0,0.0,0.0
192.0,compromised,0.5001,72.67,47.83,0.1100000000000001,0.11
193.0,normal,0.3802999999999999,11.5,21.0,0.0,0.0
193.0,compromised,0.4082,28.0,35.5,0.1,0.06
194.0,normal,0.3479,27.0,15.5,0.0,0.0
194.0,compromised,0.9396,19.0,22.0,0.0,0.0
195.0,normal,0.2963,14.0,19.5,0.0,0.0
195.0,compromised,0.9118,24.0,25.5,0.04,0.04
196.0,normal,0.225,25.0,29.5,0.0,0.0
196.0,compromised,1.0096,55.5,37.5,0.0,0.0
197.0,normal,0.3366,34.0,43.0,0.0,0.0
197.0,compromised,0.5904999999999999,58.0,78.0,0.02,0.02
198.0,normal,0.4361,22.0,30.5,0.0,0.0
198.0,compromised,0.2058999999999999,22.0,47.5,0.1,0.1
199.0,normal,0.3240999999999999,15.0,17.0,0.0,0.0
199.0,compromised,0.9813,43.5,46.0,0.1,0.1
200.0,normal,0.2816999999999999,51.5,32.5,0.0,0.0
200.0,compromised,0.9679,54.0,57.0,0.1999999999999999,0.2
201.0,normal,0.2678,23.0,29.0,0.0,0.0
201.0,compromised,0.7432,51.5,43.5,0.1200000000000001,0.07
202.0,normal,0.5631,19.0,22.0,0.0,0.0
202.0,compromised,0.6004,37.83,36.67,0.03,0.03
203.0,normal,0.603,35.5,23.0,0.0,0.0
203.0,compromised,0.5858,29.0,29.0,0.09,0.09
204.0,normal,0.5245000000000001,37.0,21.0,0.0,0.0
204.0,compromised,1.3433000000000002,48.0,41.0,0.1299999999999999,0.13
205.0,normal,0.5551,17.0,25.0,0.0,0.0
205.0,compromised,0.5656,23.5,29.0,0.27,0.27
206.0,normal,0.2123,30.0,31.5,0.0,0.0
206.0,compromised,0.6294,34.67,47.33,0.0,0.0
